-106.67, 34.433
-106.67, 34.421
-106.66, 34.404
-106.66, 34.394
-106.65, 34.387
-106.65, 34.377
-106.64, 34.367
-106.64, 34.356
-106.63, 34.346
-106.63, 34.339
-106.63, 34.329
-106.62, 34.317
-106.61, 34.310
-106.61, 34.300
-106.61, 34.292
-106.61, 34.285
-106.61, 34.273
-106.61, 34.264
-106.61, 34.258
-106.60, 34.250
-106.60, 34.239
-106.60, 34.229
-106.60, 34.219
-106.60, 34.212
-106.60, 34.202
-106.60, 34.196
-106.60, 34.189
-106.60, 34.181
-106.59, 34.173
-106.59, 34.164
-106.59, 34.152
-106.59, 34.142
-106.59, 34.139
-106.59, 34.131
-106.59, 34.123
-106.59, 34.117
-106.59, 34.108
-106.59, 34.098
-106.58, 34.090
-106.58, 34.083
-106.59, 34.075
-106.58, 34.067
-106.58, 34.060
-106.58, 34.052
-106.58, 34.042
-106.58, 34.027
-106.58, 34.012
-106.58, 34.000
-106.59, 33.990
-106.59, 33.979
-106.60, 33.969
-106.61, 33.960
-106.61, 33.948
-106.62, 33.941
-106.63, 33.931
-106.64, 33.925
-106.65, 33.918
-106.67, 33.910
-106.69, 33.900
-106.72, 33.889
-106.75, 33.879
-106.76, 33.872
-106.77, 33.870
-106.78, 33.866
-106.79, 33.866
-106.81, 33.864
-106.82, 33.860
-106.83, 33.858
-106.84, 33.856
-106.85, 33.856
-106.87, 33.856
-106.91, 33.856
-106.92, 33.858
-106.93, 33.860
-106.94, 33.864
-106.97, 33.870
-106.98, 33.874
-106.99, 33.878
-107.07, 33.961
-107.09, 33.986
-107.11, 34.015
-107.13, 34.051
-107.14, 34.068
-107.15, 34.086
-107.15, 34.105
-107.15, 34.122
-107.16, 34.140
-107.16, 34.170
-107.16, 34.209
-107.16, 34.242
-107.18, 34.290
-107.19, 34.347
-107.20, 34.388
-107.20, 34.420
-107.20, 34.453
-107.19, 34.470
-107.17, 34.495
-107.15, 34.511
-107.13, 34.515
-107.11, 34.522
-107.08, 34.532
-107.05, 34.541
-107.00, 34.543
-106.96, 34.533
-106.90, 34.514
-106.85, 34.495
-106.81, 34.477
-106.77, 34.470
-106.75, 34.466
-106.73, 34.460
-106.71, 34.450
-106.69, 34.444
-106.68, 34.441
